TIMESTAMP		DIRECTION	DATA
2015-08-23 01:36:53	>>		ATI
2015-08-23 01:36:54	>>		ATI
2015-08-23 01:36:54	>>		ATI
2015-08-23 01:36:54	<<		òÿIATI?
2015-08-23 01:36:55	>>		ATZ
2015-08-23 01:36:56	<<		ATZELM327 v1.5
2015-08-23 01:36:57	>>		ATI
2015-08-23 01:36:57	<<		ATIELM327 v1.5
2015-08-23 01:36:57	>>		AT@1
2015-08-23 01:36:57	<<		AT@1OBDII to RS232 Interpreter
2015-08-23 01:36:58	>>		ATBRT28
2015-08-23 01:36:58	<<		ATBRT28OK
2015-08-23 01:36:58	>>		ATBRD23
2015-08-23 01:36:58	<<		ATBRD23
2015-08-23 01:36:58	<<		OK
2015-08-23 01:36:58	<<		ELM327 v1.5
2015-08-23 01:36:58	>>		
2015-08-23 01:36:59	>>		ATBRD45
2015-08-23 01:36:59	<<		àààATBRD45
2015-08-23 01:36:59	<<		?
2015-08-23 01:36:59	<<		
2015-08-23 01:36:59	>>		ATI
2015-08-23 01:36:59	<<		
2015-08-23 01:36:59	<<		ATIELM327 v1.5
2015-08-23 01:36:59	>>		AT@1
2015-08-23 01:36:59	<<		AT@1OBDII to RS232 Interpreter
2015-08-23 01:36:59	>>		AT@2
2015-08-23 01:36:59	<<		AT@2?
2015-08-23 01:37:00	>>		ATE0
2015-08-23 01:37:00	<<		ATE0OK
2015-08-23 01:37:00	>>		ATL0
2015-08-23 01:37:00	<<		OK
2015-08-23 01:37:00	>>		ATS0
2015-08-23 01:37:00	<<		OK
2015-08-23 01:37:00	>>		ATM0
2015-08-23 01:37:00	<<		OK
2015-08-23 01:37:01	>>		ATTP0
2015-08-23 01:37:01	<<		OK
2015-08-23 01:37:01	>>		0100
2015-08-23 01:37:01	<<		SEARCHING...7F0111
2015-08-23 01:37:01	>>		ATDPN
2015-08-23 01:37:01	<<		A6
2015-08-23 01:37:01	>>		ATDP
2015-08-23 01:37:02	<<		AUTO, ISO 15765-4 (CAN 11/500)
2015-08-23 01:37:02	>>		ATH1
2015-08-23 01:37:02	<<		OK
2015-08-23 01:37:02	>>		0100
2015-08-23 01:37:02	<<		7E9037F0111
2015-08-23 01:37:02	>>		0100
2015-08-23 01:37:02	<<		7E9037F0111
2015-08-23 01:37:03	>>		ATZ
